ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Internal_Lipid?
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,825,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,707,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,916,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,930,6,0.000208333,No
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,702,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,938,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,ASP,78,POPE,669,3,0.000104167,No
MacB No Internal Lipid Traj 4,A,GLN,82,POPE,825,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,GLN,82,POPE,669,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,SER,99,POPE,932,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,SER,99,POPE,750,80,0.002777778,No
MacB No Internal Lipid Traj 4,A,SER,99,POPE,758,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,SER,99,POPE,852,17,0.000590278,No
MacB No Internal Lipid Traj 4,A,SER,99,POPG,863,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,SER,99,POPE,891,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,SER,99,POPG,934,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,SER,99,POPE,889,283,0.009826389,No
MacB No Internal Lipid Traj 4,A,THR,102,POPG,693,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,THR,102,POPG,709,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,901,4,0.000138889,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,899,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,889,2,6.94E-05,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,929,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,847,10,0.000347222,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,808,3,0.000104167,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,758,7,0.000243056,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,887,5,0.000173611,No
MacB No Internal Lipid Traj 4,A,THR,102,POPG,863,5,0.000173611,No
MacB No Internal Lipid Traj 4,A,THR,102,CDL2,909,4,0.000138889,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,933,1,3.47E-05,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,891,11,0.000381944,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,660,4,0.000138889,No
MacB No Internal Lipid Traj 4,A,THR,102,POPE,873,15,0.000520833,No
