ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Internal_Lipid?
MacB No Internal Lipid Traj 1,A,ASP,78,POPE,680,3,0.000104167,No
MacB No Internal Lipid Traj 1,A,ASP,78,POPE,735,3,0.000104167,No
MacB No Internal Lipid Traj 1,A,ASP,78,POPE,942,5,0.000173611,No
MacB No Internal Lipid Traj 1,A,ASP,78,POPE,669,7,0.000243056,No
MacB No Internal Lipid Traj 1,A,GLN,82,POPE,669,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,SER,99,POPE,651,2,6.94E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,845,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,888,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,742,14,0.000486111,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,822,2,6.94E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,808,5,0.000173611,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,806,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPG,705,8,0.000277778,No
MacB No Internal Lipid Traj 1,A,THR,102,POPG,696,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPG,683,3,0.000104167,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,830,2,6.94E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPG,725,5,0.000173611,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,839,3,0.000104167,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,887,3,0.000104167,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,868,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,THR,102,POPE,763,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,GLU,104,POPE,663,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,GLN,105,POPE,845,1,3.47E-05,No
MacB No Internal Lipid Traj 1,A,GLN,105,POPE,888,3,0.000104167,No
MacB No Internal Lipid Traj 1,A,GLN,105,POPE,742,39,0.001354167,No
MacB No Internal Lipid Traj 1,A,GLN,105,POPE,780,9,0.0003125,No
