ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Internal_Lipid?
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,935,5,0.000173611,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,742,6,0.000208333,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,787,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,694,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,747,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,762,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,659,6,0.000208333,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,820,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,825,8,0.000277778,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,702,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,750,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,936,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,ASP,78,POPE,917,10,0.000347222,No
MacB No Internal Lipid Traj 5,A,GLN,82,POPE,936,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,82,POPE,825,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,880,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,759,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,703,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,928,10,0.000347222,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,768,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,SER,99,POPG,692,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,651,7,0.000243056,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,852,8,0.000277778,No
MacB No Internal Lipid Traj 5,A,SER,99,POPE,694,19,0.000659722,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,748,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,714,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,825,6,0.000208333,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,725,13,0.000451389,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,928,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,665,9,0.0003125,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,717,13,0.000451389,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,703,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,733,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,674,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,692,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,814,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,THR,102,CDL2,812,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,THR,102,POPE,743,8,0.000277778,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,719,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,THR,102,POPG,683,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,748,4,0.000138889,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPG,725,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPG,704,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPG,749,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,665,7,0.000243056,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,703,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,852,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,717,8,0.000277778,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,902,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,926,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPG,744,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPG,814,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,105,POPE,743,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLU,117,POPE,655,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,936,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,748,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,948,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,681,5,0.000173611,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPG,749,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,706,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,713,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,668,4,0.000138889,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,937,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,873,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,703,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,768,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,825,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,717,4,0.000138889,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,734,2,6.94E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,742,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,655,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,686,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,917,4,0.000138889,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,822,4,0.000138889,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,669,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,904,7,0.000243056,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,676,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,871,3,0.000104167,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,702,1,3.47E-05,No
MacB No Internal Lipid Traj 5,A,GLN,120,POPE,878,6,0.000208333,No
MacB No Internal Lipid Traj 5,A,GLN,120,CDL2,941,1,3.47E-05,No
