ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Internal_Lipid?
MacB Internal Lipid Traj 3,A,THR,74,POPE,778,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,859,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,695,11,0.000381944,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,927,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,899,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,873,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,947,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,809,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,689,4,0.000138889,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,668,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,780,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,747,14,0.000486111,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,687,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,659,10,0.000347222,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,874,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,802,14,0.000486111,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,684,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,ASP,78,POPE,680,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,82,POPE,659,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,82,POPE,802,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,678,8,0.000277778,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,846,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,660,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,664,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPG,733,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,797,9,0.0003125,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,810,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,SER,99,POPE,697,8,0.000277778,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,804,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,885,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,898,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,932,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,810,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,805,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,851,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,674,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,942,10,0.000347222,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPG,723,28,0.000972222,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPG,677,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPG,683,7,0.000243056,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPG,744,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,926,11,0.000381944,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,891,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPG,773,4,0.000138889,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPG,711,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,664,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,847,6,0.000208333,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,801,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,655,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,860,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,THR,102,POPE,663,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,885,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,804,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,942,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPG,823,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPG,677,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPG,723,7,0.000243056,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPG,744,5,0.000173611,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,847,27,0.0009375,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,801,2,6.94E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,663,9,0.0003125,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,703,1,3.47E-05,Yes
MacB Internal Lipid Traj 3,A,GLN,105,POPE,860,3,0.000104167,Yes
MacB Internal Lipid Traj 3,A,GLN,120,POPE,856,4,0.000138889,Yes
