ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Internal_Lipid?
MacB No Internal Lipid Traj 3,A,ASP,78,POPE,869,17,0.000590278,No
MacB No Internal Lipid Traj 3,A,ASP,78,POPE,674,3,0.000104167,No
MacB No Internal Lipid Traj 3,A,ASP,78,POPE,810,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,ASP,78,POPE,742,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,ASP,78,POPE,669,10,0.000347222,No
MacB No Internal Lipid Traj 3,A,GLN,82,POPE,869,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,GLN,82,POPE,674,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,GLN,82,POPE,742,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,SER,99,POPE,690,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,SER,99,POPE,926,29,0.001006944,No
MacB No Internal Lipid Traj 3,A,SER,99,POPE,732,5,0.000173611,No
MacB No Internal Lipid Traj 3,A,SER,99,POPE,756,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,SER,99,POPE,664,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,873,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,690,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPG,829,3,0.000104167,No
MacB No Internal Lipid Traj 3,A,THR,102,POPG,744,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,694,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,826,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,845,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,857,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,722,25,0.000868056,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,682,4,0.000138889,No
MacB No Internal Lipid Traj 3,A,THR,102,POPG,863,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPG,814,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,924,3,0.000104167,No
MacB No Internal Lipid Traj 3,A,THR,102,POPE,917,3,0.000104167,No
MacB No Internal Lipid Traj 3,A,THR,102,POPG,671,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,685,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,690,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPG,829,4,0.000138889,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,926,3,0.000104167,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,826,11,0.000381944,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,789,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,902,17,0.000590278,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,682,205,0.007118056,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPG,817,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,763,4,0.000138889,No
MacB No Internal Lipid Traj 3,A,GLN,105,POPE,924,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,LYS,119,POPG,818,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,GLN,120,POPE,933,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,120,POPE,880,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,120,POPE,695,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,GLN,120,POPE,760,1,3.47E-05,No
MacB No Internal Lipid Traj 3,A,GLN,120,POPE,740,2,6.94E-05,No
MacB No Internal Lipid Traj 3,A,GLN,120,POPG,653,1,3.47E-05,No
