ID,Chain,Protein_Type,Protein_ResID,Lipid_Type,Lipid_ResID,#Frames,Fraction_Frames,Internal_Lipid?
MacB Internal Lipid Traj 1,A,ASP,78,POPE,680,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,712,10,0.000347222,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,747,5,0.000173611,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,660,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,843,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,766,11,0.000381944,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,849,5,0.000173611,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,756,10,0.000347222,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,659,6,0.000208333,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,874,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,669,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,792,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,825,15,0.000520833,Yes
MacB Internal Lipid Traj 1,A,ASP,78,POPE,722,5,0.000173611,Yes
MacB Internal Lipid Traj 1,A,GLN,82,POPE,756,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,761,29,0.001006944,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,907,10,0.000347222,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,708,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,726,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,811,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPG,818,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,938,39,0.001354167,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,900,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,891,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,651,19,0.000659722,Yes
MacB Internal Lipid Traj 1,A,SER,99,POPE,663,4,0.000138889,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,897,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,862,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,826,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,805,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,726,6,0.000208333,Yes
MacB Internal Lipid Traj 1,A,THR,102,CDL2,815,6,0.000208333,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,723,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,841,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,853,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,818,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,876,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,707,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,938,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,653,5,0.000173611,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,673,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPG,683,9,0.0003125,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,859,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,689,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,891,9,0.0003125,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,865,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,THR,102,POPE,663,5,0.000173611,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,930,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,857,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,938,8,0.000277778,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,726,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPG,896,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,CDL2,815,8,0.000277778,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPG,723,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPG,853,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPG,841,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,832,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,707,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,869,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPG,653,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,891,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,105,POPE,663,7,0.000243056,Yes
MacB Internal Lipid Traj 1,A,LYS,119,POPE,694,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,710,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,857,9,0.0003125,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,678,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,721,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,845,5,0.000173611,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,811,4,0.000138889,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,897,12,0.000416667,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,702,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,843,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,879,4,0.000138889,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,852,4,0.000138889,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,849,2,6.94E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,807,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,874,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,717,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,838,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,938,3,0.000104167,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,688,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPE,798,1,3.47E-05,Yes
MacB Internal Lipid Traj 1,A,GLN,120,POPG,725,1,3.47E-05,Yes
